country_name,iso3,year,boundary_name,wsdi_days,n_valid_cells,n_total_cells,grid_coverage_rate,wsdi_source_dataset,wsdi_source_version,base_period,aggregation,n_valid_years_1951_2018,time_coverage_rate,passes_time_coverage,wsdi_source_status,wsdi_missing_reason
Brazil,BRA,2000,Brazil,7.90610781232516,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2001,Brazil,21.96992870648702,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2002,Brazil,27.649114571412404,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2003,Brazil,28.358404749234516,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2004,Brazil,20.55875586748123,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2005,Brazil,43.991349166234336,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2006,Brazil,27.656490001678467,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2007,Brazil,39.17538277308146,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2008,Brazil,28.56233536720276,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2009,Brazil,35.870371024345474,299,301,0.9933554817275747,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2010,Brazil,55.50639685420288,299,301,0.9933554817275747,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2011,Brazil,32.45687044848999,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2012,Brazil,45.21654466629028,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2013,Brazil,27.838613013426464,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2014,Brazil,32.1486188394052,297,301,0.9867109634551495,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2015,Brazil,73.33687432607015,297,301,0.9867109634551495,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2016,Brazil,72.53666537415748,255,301,0.8471760797342193,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2017,Brazil,37.640597441136194,277,301,0.920265780730897,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,2018,Brazil,47.90231366936429,251,301,0.8338870431893688,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,1995,Canada,8.475399663108727,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,1996,Canada,5.147083702475526,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,1997,Canada,5.863248943372867,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,1998,Canada,13.79415087887021,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,1999,Canada,7.810935180894164,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2000,Canada,6.087046361744924,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2001,Canada,6.469713470097198,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2002,Canada,10.498261818878872,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2003,Canada,8.213161694449047,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2004,Canada,3.065172303029401,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2005,Canada,11.399825984655424,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2006,Canada,13.688550392209097,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2007,Canada,5.132210995395516,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2008,Canada,4.264487376696495,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2009,Canada,9.167410422549692,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2010,Canada,20.443983459195426,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2011,Canada,9.847323229146559,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Canada,CAN,2012,Canada,10.330313350052334,688,710,0.9690140845070423,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
