country_name,iso3,year,capacity,growth,inflation_cpi,debt_gdp,reserves,tt,interest_revenue,wsdi_days,adapt_capacity,country_id,b_pre,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_pre_mA_hat,theta_recomputed_b_pre,theta_reconstruction_diff,b_pre_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Russia,RUS,2007,.3588659465312958,.0855000019073486,.0900699996948242,.0803299999237061,.3436319732666016,1.188000030517578,-.000026647481136,.2316613101024254,.6411340534687042,RUS,.0980399990081787,1,1,-.0126732582564593,-.0012424862268937,.0183788471016735,.0171363608747798,1,-.0012424862268937,.0171363608747798,0,0,-.0058699989318848,2008,.0004319250583649,2007,1,1,1,1,1,1,1,0,.0421635077348433,0,.0270324606224992,0,.0421635077348433,0,-1.12355127699e-06
Russia,RUS,2008,.3592628538608551,.0524700021743774,.1411100006103516,.0744600009918213,.2396023941040039,1.428999938964844,.0051422321796417,.1542954276200214,.6407371461391449,RUS,.0803299999237061,1,1,-.0111654309683426,-.0008969190688351,.0096656580190988,.0087687389502637,1,-.0008969190688351,.0087687389502637,0,0,.0247200012207031,2009,-.0003969073295593,2008,1,1,1,1,1,1,1,0,.0337958858103272,0,.0216542794253535,0,.0337958858103272,0,.0001737862915534
Russia,RUS,2009,.3578943908214569,-.0782100009918213,.1164700031280518,.0991800022125244,.3359069442749024,.9519999694824218,-.0094169443845749,.1087819484324237,.6421056091785431,RUS,.0744600009918213,1,1,-.0103838175008819,-.0007731790614146,.0045397868050328,.0037666077436182,1,-.0007731790614146,.0037666077436182,0,0,.0018699932098389,2010,.0013684630393982,2009,1,1,1,1,1,1,1,0,.0287937546036817,0,.0184886313403345,0,.0287937546036817,0,-.000271149185726
Russia,RUS,2010,.3540616035461426,.0451200008392334,.0684899997711182,.1010499954223633,.2934413719177246,1.153000030517578,.0035591593384743,.1535385587295286,.6459383964538574,RUS,.0991800022125244,1,1,-.0115915887102834,-.0011496537939326,.0095804170634995,.0084307632695669,1,-.0011496537939326,.0084307632695669,0,0,.0023500061035156,2011,.0038327872753143,2010,1,1,1,1,1,1,1,0,.0334579101296304,0,.0216117488178307,0,.0334579101296304,0,.0001190820332837
Russia,RUS,2011,.3510688245296478,.0399499988555908,.084399995803833,.1034000015258789,.2430397224426269,1.403999938964844,.0079843193292618,.1828470717010155,.6489311754703522,RUS,.1010499954223633,1,1,-.0120506416623854,-.0012177172848206,.0128812340005743,.0116635167157537,1,-.0012177172848206,.0116635167157537,0,0,.0082699966430664,2012,.0029927790164948,2011,1,1,1,1,1,1,1,0,.0366906635758172,0,.0238097154430423,0,.0366906635758172,0,.0002929499743918
Russia,RUS,2012,.3504189252853394,.0402400016784668,.0507499980926514,.1116699981689453,.2454117393493652,1.466000061035156,.007933509349823,.1523584705216238,.6495810747146606,RUS,.1034000015258789,1,1,-.0116726587726905,-.0012069529349073,.0094475118169016,.0082405588819943,1,-.0012069529349073,.0082405588819943,0,0,.0118099975585938,2013,.0006498992443085,2012,1,1,1,1,1,1,1,0,.0332677057420578,0,.021610072049217,0,.0332677057420578,0,.0002639296545518
Russia,RUS,2013,.3484249413013458,.0175499999523163,.0675400018692017,.1234799957275391,.2227258491516113,1.368999938964844,.0100627052783966,.1124866861143922,.6515750586986542,RUS,.1116699981689453,1,1,-.0112987946792112,-.0012617363811388,.0049570260180886,.0036952896369498,1,-.0012617363811388,.0036952896369498,0,0,.0278800010681152,2014,.0019939839839935,2013,1,1,1,1,1,1,1,0,.0287224364970133,0,.0187148232465098,0,.0287224364970133,0,.0002890254133469
Russia,RUS,2014,.344967395067215,.0073600000143051,.0782299995422363,.1513599967956543,.1885051536560059,1.315,.0116038739681244,.1523963333812415,.655032604932785,RUS,.1234799957275391,1,1,-.0121385969333119,-.0014988738974637,.0094517760512704,.0079529021538067,1,-.0014988738974637,.0079529021538067,0,0,.0015000057220459,2015,.0034575462341309,2014,1,1,1,1,1,1,1,0,.0329800490138702,0,.0216030074163663,0,.0329800490138702,0,.0003826963322195
Russia,RUS,2015,.3489100337028503,-.0197300004959106,.1553400039672851,.1528600025177002,.2712774658203125,1,.0078401857614517,.178590262076434,.6510899662971497,RUS,.1513599967956543,1,1,-.0131563158084138,-.0019913399186041,.0124018187084921,.0104104787898879,1,-.0019913399186041,.0104104787898879,0,0,-.004370002746582,2016,-.0039426386356354,2015,1,1,1,1,1,1,1,0,.0354376256499514,0,.0230730824900779,0,.0354376256499514,0,.0002778375680404
Russia,RUS,2016,.344496101140976,.0019400000572205,.0704199981689453,.1484899997711182,.2944229888916016,.8149999999999999,.013215457201004,.2287159924213988,.655503898859024,RUS,.1528600025177002,1,1,-.0139020644940254,-.002125069613558,.0180471361583016,.0159220665447437,1,-.002125069613558,.0159220665447437,0,0,-.0053800010681152,2017,.0044139325618744,2016,1,1,1,1,1,1,1,0,.0409492134048072,0,.0268423690420613,0,.0409492134048072,0,.000541162577166
