country_name,iso3,year,readiness100,debt_gdp,interest_revenue,wsdi_days,country_id,b_it,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_it_mA_hat,theta_recomputed_b_it,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_ns_missing_count,ready_ns_missing_count,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Portugal,PRT,2004,.4666020584106445,.670989990234375,.0567059183120728,.1292228755950928,PRT,.670989990234375,1,1,.03996648719633,.0268171128535677,-.0189625059340824,.0078546069194854,1,.0268171128535677,.0078546069194854,0,0,.0515000152587891,2005,-.0032665634155274,2004,0,0,1,1,1,1,1,1,1,0,.0232311002302678,0,.0108396791865869,0,.0232311002302678,0,.0013173408719571
Portugal,PRT,2005,.4662328338623047,.7224900054931641,.0562344789505005,.1465357685089111,PRT,.7224900054931641,1,1,.0446106719462537,.0322307646195026,-.017066760186532,.0151640044329705,1,.0322307646195026,.0151640044329705,0,0,.0143000030517577,2006,-.0003692245483398,2005,0,0,1,1,1,1,1,1,1,0,.0305404977437529,0,.0142389828106352,0,.0305404977437529,0,.0017174289775089
Portugal,PRT,2006,.473437614440918,.7367900085449218,.0607011651992798,.1258025321960449,PRT,.7367900085449218,1,1,.0458822927505256,.0338056148677204,-.0193370303700726,.0144685844976478,1,.0338056148677204,.0144685844976478,0,0,-.0095100402832031,2007,.0072047805786133,2006,0,0,1,1,1,1,1,1,1,0,.0298450778084302,0,.0141297824404268,0,.0298450778084302,0,.0018116309984349
Portugal,PRT,2007,.492310562133789,.7272799682617187,.0621863651275635,.0939563980102539,PRT,.7272799682617187,1,1,.0450045816516842,.0327309307152688,-.0228241525835095,.0099067781317593,1,.0327309307152688,.0099067781317593,0,0,.0291500091552734,2008,.0188729476928711,2007,0,0,1,1,1,1,1,1,1,0,.0252832714425417,0,.0124472215764589,0,.0252832714425417,0,.0015722747495452
Portugal,PRT,2008,.5100751113891602,.7564299774169921,.0653869247436523,.0655933361053467,PRT,.7564299774169921,1,1,.0476064903989791,.036010976457402,-.0259298816064631,.0100810948509389,1,.036010976457402,.0100810948509389,0,0,.1215600585937501,2009,.0177645492553711,2008,0,0,1,1,1,1,1,1,1,0,.0254575881617213,0,.0129852821172894,0,.0254575881617213,0,.0016645934012854
Portugal,PRT,2009,.515518798828125,.8779900360107422,.0672312593460083,.1849475364685059,PRT,.8779900360107422,1,1,.058623671266362,.0514709992462351,-.0128607071526586,.0386102920935764,1,.0514709992462351,.0386102920935764,0,0,.1227599334716796,2010,.0054436874389648,2009,0,0,1,1,1,1,1,1,1,0,.0539867854043588,0,.0278312027642468,0,.0539867854043588,0,.0036295995707777
Portugal,PRT,2010,.5174380493164062,1.000749969482422,.0670389699935913,.0493775777816772,PRT,1.000749969482422,1,1,.0695698150818553,.0696219903200644,-.0277054921320076,.0419164981880569,1,.0696219903200644,.0419164981880569,0,0,.1394900512695314,2011,.0019192504882812,2010,0,0,1,1,1,1,1,1,1,0,.0572929914988393,0,.0296455737606608,0,.0572929914988393,0,.0038408631379338
Portugal,PRT,2011,.527106704711914,1.140240020751953,.0905179500579834,.2009550132751465,PRT,1.140240020751953,1,1,.0822222818674033,.0937531363827609,-.011107903260423,.0826452331223379,1,.0937531363827609,.0826452331223379,0,0,.1458000183105468,2012,.0096686553955078,2011,0,0,1,1,1,1,1,1,1,0,.0980217264331203,0,.0516679092103347,0,.0980217264331203,0,.0088727257378705
Portugal,PRT,2012,.5480199813842773,1.2860400390625,.1003940677642822,.1558695583343506,PRT,1.2860400390625,1,1,.0953042245426267,.1225650486536209,-.0160447188409183,.1065203298127026,1,.1225650486536209,.1065203298127026,0,0,.0223699951171876,2013,.0209132766723633,2012,0,0,1,1,1,1,1,1,1,0,.121896823123485,0,.0668018947389348,0,.121896823123485,0,.0122377179209099
Portugal,PRT,2013,.5582817840576172,1.308410034179688,.0935118389129639,.0753288335800171,PRT,1.308410034179688,1,1,.0972596943794786,.1272555600473596,-.0248638536451186,.102391706402241,1,.1272555600473596,.102391706402241,0,0,.0161199951171873,2014,.0102618026733399,2013,0,0,1,1,1,1,1,1,1,0,.1177681997130234,0,.0657478406410405,0,.1177681997130234,0,.011012720920634
Portugal,PRT,2014,.5792049026489258,1.324530029296875,.0983447551727295,.2014659919738769,PRT,1.324530029296875,1,1,.0987981124198955,.1308610667380001,-.0110519515659241,.119809115172076,1,.1308610667380001,.119809115172076,0,0,-.0143000793457031,2015,.0209231185913086,2014,0,0,1,1,1,1,1,1,1,0,.1351856084828584,0,.0783001672008498,0,.1351856084828584,0,.0132947955691232
Portugal,PRT,2015,.5927437973022461,1.310229949951172,.0981000423431397,.3107696418762207,PRT,1.310229949951172,1,1,.097588661124318,.1278635865807171,.000916696916197,.1287802834969141,1,.1278635865807171,.1287802834969141,0,0,.0015699768066406,2016,.0135388946533204,2015,0,0,1,1,1,1,1,1,1,0,.1441567768076965,0,.0854480352918464,0,.1441567768076965,0,.0141417859088856
