criterion,variable,cutoff,rss,N,N_low,N_high
TA,TA_hat,-.0414024222880514,9.7370949,1373,450,923
TA,TA_hat,-.0413476326756964,9.7366009,1373,451,922
TA,TA_hat,-.0413149330257873,9.7364092,1373,452,921
TA,TA_hat,-.0412895520511797,9.7363024,1373,453,920
TA,TA_hat,-.0412715949877275,9.736166,1373,455,918
TA,TA_hat,-.0412457835028081,9.7359886,1373,455,918
TA,TA_hat,-.0412286204917089,9.7359571,1373,457,916
TA,TA_hat,-.0412132177894404,9.7359829,1373,458,915
TA,TA_hat,-.0412077742257195,9.735918,1373,458,915
TA,TA_hat,-.0411381941924284,9.7353048,1373,459,914
TA,TA_hat,-.0411219113357446,9.7351685,1373,460,913
TA,TA_hat,-.0410184166567754,9.7340889,1373,461,912
TA,TA_hat,-.0409965562998292,9.7338495,1373,462,911
TA,TA_hat,-.0409958579164344,9.73384,1373,463,910
TA,TA_hat,-.0409610918170284,9.7333145,1373,464,909
TA,TA_hat,-.0409544906589133,9.7332096,1373,466,907
TA,TA_hat,-.0409234460819809,9.7327423,1373,466,907
TA,TA_hat,-.0409168544907617,9.7326488,1373,467,906
TA,TA_hat,-.0408922771354028,9.7323065,1373,469,904
TA,TA_hat,-.0408836764960616,9.7321863,1373,470,903
TA,TA_hat,-.0408575588704759,9.7318134,1373,471,902
TA,TA_hat,-.0408468726478462,9.731678,1373,471,902
TA,TA_hat,-.040842758882644,9.7316084,1373,473,900
TA,TA_hat,-.0405845196638037,9.7286978,1373,473,900
TA,TA_hat,-.0404968964649981,9.7281666,1373,475,898
TA,TA_hat,-.040458915888597,9.7280531,1373,475,898
TA,TA_hat,-.0403263761139215,9.7275963,1373,477,896
TA,TA_hat,-.0402759394391641,9.7274847,1373,478,895
TA,TA_hat,-.0402543660890925,9.7272034,1373,478,895
TA,TA_hat,-.0402528545195531,9.7271843,1373,479,894
TA,TA_hat,-.0402413168431954,9.7270641,1373,481,892
TA,TA_hat,-.0402241825327837,9.7269135,1373,482,891
TA,TA_hat,-.0402152661858805,9.7267742,1373,482,891
TA,TA_hat,-.040174559044171,9.7262621,1373,483,890
TA,TA_hat,-.0400432820997436,9.7245235,1373,485,888
TA,TA_hat,-.0399601266412855,9.7238321,1373,485,888
TA,TA_hat,-.0399542525672527,9.7237968,1373,486,887
TA,TA_hat,-.0399303353277053,9.7236195,1373,488,885
TA,TA_hat,-.0399072025736152,9.7233629,1373,488,885
TA,TA_hat,-.0398901065307867,9.7231951,1373,490,883
TA,TA_hat,-.0398891307074132,9.7231865,1373,491,882
TA,TA_hat,-.0398875330358114,9.7231684,1373,492,881
TA,TA_hat,-.0398857918607724,9.7231522,1373,493,880
TA,TA_hat,-.0398838306471295,9.723135,1373,494,879
TA,TA_hat,-.0398776599993263,9.7230663,1373,495,878
TA,TA_hat,-.0398497055297434,9.722723,1373,496,877
TA,TA_hat,-.0398494185228688,9.7227211,1373,497,876
TA,TA_hat,-.0398431809067949,9.7226753,1373,497,876
TA,TA_hat,-.0398326860220815,9.7226019,1373,499,874
TA,TA_hat,-.0398148915958583,9.7224407,1373,500,873
TA,TA_hat,-.0398035069898338,9.7223854,1373,501,872
TA,TA_hat,-.0398029521098763,9.7223854,1373,502,871
TA,TA_hat,-.0397841531595921,9.7223949,1373,502,871
TA,TA_hat,-.0397830242658855,9.722394,1373,503,870
TA,TA_hat,-.039709397435663,9.7223101,1373,504,869
TA,TA_hat,-.0396733206715298,9.7222567,1373,506,867
TA,TA_hat,-.0396455766736549,9.7222137,1373,507,866
TA,TA_hat,-.0396417307815357,9.7222195,1373,508,865
TA,TA_hat,-.0396374735128963,9.7222118,1373,508,865
TA,TA_hat,-.0396147521353263,9.7221489,1373,510,863
TA,TA_hat,-.0396088397937102,9.7221298,1373,511,862
TA,TA_hat,-.0395055268857616,9.7217731,1373,512,861
TA,TA_hat,-.0394818488186098,9.7217426,1373,512,861
TA,TA_hat,-.0394752093929114,9.7217121,1373,514,859
TA,TA_hat,-.0394735351861431,9.7217016,1373,515,858
TA,TA_hat,-.0394415913210037,9.7214746,1373,516,857
TA,TA_hat,-.0394389795584452,9.7214508,1373,516,857
TA,TA_hat,-.0393999657572955,9.720993,1373,518,855
TA,TA_hat,-.039377856661058,9.7207747,1373,519,854
TA,TA_hat,-.0393469077530838,9.7205601,1373,519,854
TA,TA_hat,-.0393156048699642,9.7205172,1373,521,852
TA,TA_hat,-.0393029574336916,9.7204981,1373,522,851
TA,TA_hat,-.0392814032174116,9.7204294,1373,522,851
TA,TA_hat,-.0392644124104372,9.720315,1373,523,850
TA,TA_hat,-.0392590932163618,9.7203465,1373,525,848
TA,TA_hat,-.0392192183945885,9.7205343,1373,526,847
TA,TA_hat,-.0391824432470606,9.7210226,1373,526,847
TA,TA_hat,-.0391727232809085,9.7211485,1373,528,845
TA,TA_hat,-.0391650697642534,9.7212477,1373,528,845
TA,TA_hat,-.0391554646008512,9.7214003,1373,529,844
TA,TA_hat,-.0390996226299561,9.7221413,1373,531,842
TA,TA_hat,-.0390234127378625,9.7237206,1373,532,841
TA,TA_hat,-.0389293318843792,9.7253904,1373,532,841
TA,TA_hat,-.038860603304816,9.726656,1373,533,840
TA,TA_hat,-.0388560207617187,9.7267294,1373,535,838
TA,TA_hat,-.0387577209071792,9.7283535,1373,536,837
TA,TA_hat,-.0387414476173912,9.7286263,1373,537,836
TA,TA_hat,-.0386762205216978,9.7298279,1373,537,836
TA,TA_hat,-.0386583686940996,9.7301626,1373,539,834
TA,TA_hat,-.0386245114497964,9.7307072,1373,540,833
TA,TA_hat,-.0384509679596411,9.7337446,1373,540,833
TA,TA_hat,-.0384157426492358,9.7343369,1373,541,832
TA,TA_hat,-.0383535865271002,9.7354069,1373,542,831
TA,TA_hat,-.0383375141421244,9.7357044,1373,544,829
TA,TA_hat,-.0383030063489055,9.7364101,1373,545,828
TA,TA_hat,-.0383000597449933,9.7364779,1373,545,828
TA,TA_hat,-.0382909520601737,9.7366877,1373,546,827
TA,TA_hat,-.0382796344224199,9.7369432,1373,547,826
TA,TA_hat,-.0382721339760978,9.7371054,1373,549,824
TA,TA_hat,-.0382404101495623,9.7376471,1373,549,824
TA,TA_hat,-.0382280497201642,9.7378626,1373,551,822
TA,TA_hat,-.038199109860312,9.738348,1373,551,822
TA,TA_hat,-.0381738819560374,9.7386656,1373,553,820
TA,TA_hat,-.0381513614832797,9.7389536,1373,553,820
TA,TA_hat,-.0381369920057596,9.7391367,1373,555,818
TA,TA_hat,-.0381229095351142,9.7392673,1373,555,818
TA,TA_hat,-.0381120606752555,9.7393923,1373,557,816
TA,TA_hat,-.0380984756831926,9.7395563,1373,558,815
TA,TA_hat,-.0380967249412578,9.7395763,1373,558,815
TA,TA_hat,-.0380788635467638,9.7398291,1373,560,813
TA,TA_hat,-.0380575198021918,9.7400723,1373,561,812
TA,TA_hat,-.0380561039016106,9.7400951,1373,562,811
TA,TA_hat,-.0380149949502767,9.740737,1373,562,811
TA,TA_hat,-.0380041652242096,9.7409086,1373,564,809
TA,TA_hat,-.0379651705568517,9.7416601,1373,564,809
TA,TA_hat,-.0379483997884811,9.7420168,1373,565,808
TA,TA_hat,-.0378248911634587,9.7446947,1373,567,806
TA,TA_hat,-.0378004190439539,9.7452526,1373,568,805
TA,TA_hat,-.0377839352824579,9.7456369,1373,568,805
TA,TA_hat,-.0377253189117753,9.7469482,1373,570,803
TA,TA_hat,-.037618341882728,9.7489538,1373,571,802
TA,TA_hat,-.037534602843625,9.7504816,1373,571,802
TA,TA_hat,-.0375272650345318,9.7506237,1373,573,800
TA,TA_hat,-.0374980094671176,9.7511568,1373,573,800
