country_name,iso3,year,vulnerability100,readiness100,debt_gdp,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,interest_revenue,bmA_hat,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_ns_missing_count,ready_ns_missing_count,sample_debt_ns,sample_ready_ns,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Egypt,EGY,2013,.4195640182495117,.3184859848022461,.7981199645996093,.7981199645996093,EGY,.1370671826103431,.1093960549327353,-.0197455149482841,.0896505399844512,.3233367156982422,.1093960549327353,.0896505399844512,0,0,.0394200134277344,2015,.3276622772216797,2014,0,0,1,1,0,.0129689760694927,0,.0041304371153691,0,.0129689760694927,0,.0041933461282789
Egypt,EGY,2014,.4251250457763672,.3276622772216797,.808740005493164,.808740005493164,EGY,.1390868504383231,.1124851001875163,-.0183508624426965,.0941342377448199,.2888342094421387,.1124851001875163,.0941342377448199,0,0,.1071199798583985,2016,.3280360412597656,2015,0,0,1,1,0,.0174526738298614,0,.0057185828506996,0,.0174526738298614,0,.0050409292482995
Egypt,EGY,2015,.4240207290649414,.3280360412597656,.8375399780273437,.8375399780273437,EGY,.1458430547950568,.1221493889084926,-.0186278145097586,.1035215743987339,.3092605972290039,.1221493889084926,.1035215743987339,0,0,.1404600524902344,2017,.3257295227050781,2016,0,0,1,1,0,.0268400104837754,0,.0088044907864683,0,.0268400104837754,0,.0083005576718451
Egypt,EGY,2016,.4275117492675781,.3257295227050781,.9158599853515625,.9158599853515625,EGY,.1637029375526277,.1499289699889574,-.0177523000388893,.1321766699500681,.402253303527832,.1499289699889574,.1321766699500681,0,0,-.0363700103759766,2018,.3310542297363281,2017,0,0,1,1,0,.0554951060351096,0,.0180763944012839,0,.0554951060351096,0,.0223230897322502
Egypt,EGY,2017,.4203824996948242,.3310542297363281,.9780000305175781,.9780000305175781,EGY,.1786555485727037,.1747251319562388,-.0195402476315931,.1551848843246457,.3639312362670898,.1747251319562388,.1551848843246457,0,0,-.1770800018310547,2019,.3349087524414063,2018,0,0,1,1,0,.0785033204096872,0,.0259888562699732,0,.0785033204096872,0,.0285698104477689
Egypt,EGY,2018,.4154796218872071,.3349087524414063,.8794899749755859,.8794899749755859,EGY,.1562320401393072,.137404513072504,-.0207698424836168,.1166346705888872,.4362026977539062,.137404513072504,.1166346705888872,0,0,-.0172699737548828,2020,.3386825180053711,2019,0,0,1,1,0,.0399531066739287,0,.0133806451123239,0,.0399531066739287,0,.0174276529148173
Egypt,EGY,2019,.4130159759521485,.3386825180053711,.8009200286865235,.8009200286865235,EGY,.1382330839603545,.1107136455709538,-.0213877013162907,.0893259442546631,.4602113723754883,.1107136455709538,.0893259442546631,0,0,.0981099700927734,2021,.3438549423217773,2020,0,0,1,1,0,.0126443803397046,0,.0042824305720687,0,.0126443803397046,0,.0058190876289731
Egypt,EGY,2020,.4116075134277344,.3438549423217773,.8622200012207031,.8622200012207031,EGY,.152539030840895,.1315222033578413,-.0217409302437172,.1097812731141241,.474954719543457,.1315222033578413,.1097812731141241,0,0,.0231199645996094,2022,.349371337890625,2021,0,0,1,1,0,.0330997091991656,0,.0113814985975467,0,.0330997091991656,0,.0157208630996597
Egypt,EGY,2021,.412082748413086,.349371337890625,.8990299987792969,.8990299987792969,EGY,.1610251994190651,.1447664848371581,-.021621745855605,.1231447389815531,.4317839431762696,.1447664848371581,.1231447389815531,0,0,.0602700042724609,2023,.3471986770629883,2022,0,0,1,1,0,.0464631750665946,0,.0162329016356625,0,.0464631750665946,0,.0200620529427436
Egypt,EGY,2022,.4117647552490235,.3471986770629883,.8853399658203125,.8853399658203125,EGY,.1578802657034642,.1397777090416068,-.0217014954991516,.1180762135424553,.3233670043945313,.1397777090416068,.1180762135424553,0,0,,,.3509664916992187,2023,1,0,0,1,,,,,0,.0413946496274968,0,.0133856638480048
Egypt,EGY,2023,.411320686340332,.3509664916992187,.9593000030517578,.9593000030517578,EGY,.1750415590748125,.1679173681546521,-.0218128637333797,.1461045044212724,.4017557144165039,.1679173681546521,.1461045044212724,0,0,,,,,1,1,0,0,,,,,,,,
Spain,ESP,1995,.3112337875366211,.4773698043823242,.6158599853515625,.6158599853515625,ESP,.1034248093655535,.0636952015808579,-.0469137004976283,.0167815010832296,.118110237121582,.0636952015808579,.0167815010832296,0,0,.0270000457763672,1997,.4826091384887695,1996,1,1,0,0,,,,,,,,
Spain,ESP,1996,.3121235656738282,.4826091384887695,.6544200134277344,.6544200134277344,ESP,.1122834522492241,.0734805383286496,-.0466905526526518,.0267899856759978,.1219802188873291,.0734805383286496,.0267899856759978,0,0,-.030870018005371,1998,.4865697860717774,1997,1,1,0,0,,,,,,,,
Spain,ESP,1997,.3114181518554687,.4865697860717774,.6428600311279297,.6428600311279297,ESP,.1096623727814205,.0704975563798266,-.0468674636901355,.0236300926896912,.1082768726348877,.0704975563798266,.0236300926896912,0,0,-.0343300247192383,1999,.4912995910644531,1998,1,1,0,0,,,,,,,,
Spain,ESP,1998,.3120497894287109,.4912995910644531,.6235499954223633,.6235499954223633,ESP,.1051410172893435,.0655606808494728,-.0467090550291656,.0188516258203072,.0948345565795898,.0655606808494728,.0188516258203072,0,0,-.0451399993896485,2000,.5013858032226562,1999,1,1,0,0,,,,,,,,
Spain,ESP,1999,.3115881729125977,.5013858032226562,.6085300064086914,.6085300064086914,ESP,.1016994698900719,.061887179063966,-.0468248240354705,.0150623550284955,.0799349164962769,.061887179063966,.0150623550284955,0,0,-.068010025024414,2001,.5140356445312499,2000,1,1,0,0,,,,,,,,
Spain,ESP,2000,.3110647392272949,.5140356445312499,.5784099960327148,.5784099960327148,ESP,.0947662450396531,.054813743417421,-.0469560961964499,.0078576472209711,.0739423656463623,.054813743417421,.0078576472209711,0,0,-.0660400009155273,2002,.5133191299438477,2001,0,0,1,1,.0688239166939874,0,.0353779463769589,0,.0688239166939874,0,.0050890032134016,0
Spain,ESP,2001,.3102242660522461,.5133191299438477,.5405199813842774,.5405199813842774,ESP,.0860588537919377,.0465165300495704,-.0471668788285805,-.0006503487790101,.0655953645706177,.0465165300495704,-.0006503487790101,0,0,-.0636499786376953,2003,.516232681274414,2002,0,0,1,1,.0773319126939686,0,.0396959501409615,0,.0773319126939686,0,.005072615006104,0
Spain,ESP,2002,.3115459442138672,.516232681274414,.5123699951171875,.5123699951171875,ESP,.0794359813990595,.0407006134015651,-.046835414589142,-.0061348011875769,.0590691947937012,.0407006134015651,-.0061348011875769,0,0,-.0590399932861328,2004,.5149010848999024,2003,0,0,1,1,.0828163651025354,0,.0427525142102827,0,.0828163651025354,0,.0048918960023479,0
Spain,ESP,2003,.309179859161377,.5149010848999024,.476870002746582,.476870002746582,ESP,.0714025992928083,.0340497577208746,-.047428806085759,-.0133790483648844,.0530015802383423,.0340497577208746,-.0133790483648844,0,0,-.0529199981689453,2005,.5145286560058594,2004,0,0,1,1,.0900606122798429,0,.0463723069696406,0,.0900606122798429,0,.0047733547680643,0
Spain,ESP,2004,.3095322227478027,.5145286560058594,.4533300018310547,.4533300018310547,ESP,.0659238245965214,.0298852475250512,-.0473404366690796,-.0174551891440284,.0452524948120117,.0298852475250512,-.0174551891440284,0,0,-.0631399917602539,2006,.5234901428222656,2005,0,0,1,1,.0941367530589869,0,.048436057032196,0,.0941367530589869,0,.0042599229294214,0
Spain,ESP,2005,.312232666015625,.5234901428222656,.4239500045776367,.4239500045776367,ESP,.0589071613337948,.0249736913171179,-.0466631913306097,-.0216895000134918,.0374243950843811,.0249736913171179,-.0216895000134918,0,0,-.0669699859619141,2007,.5316193771362304,2006,0,0,1,1,.0983710639284503,0,.0514962823054827,0,.0983710639284503,0,.0036814775613292,0
Spain,ESP,2006,.3112380599975586,.5316193771362304,.3901900100708008,.3901900100708008,ESP,.0511682998801861,.0199653594455556,-.0469126290052966,-.026947269559741,.0309283447265625,.0199653594455556,-.026947269559741,0,0,.0059000015258789,2008,.5340420532226563,2007,0,0,1,1,.1036288334746995,0,.0550910959051739,0,.1036288334746995,0,.003205068285317,0
Spain,ESP,2007,.3104860877990723,.5340420532226563,.3569800186157226,.3569800186157226,ESP,.0435376208858041,.0155420607142986,-.0471012164391272,-.0315591557248286,.0260806035995483,.0155420607142986,-.0315591557248286,0,0,.1738099670410156,2009,.5362537765502929,2008,0,0,1,1,.1082407196397872,0,.0578050961587298,0,.1082407196397872,0,.0028229833022551,0
Spain,ESP,2008,.3128080368041992,.5362537765502929,.3960900115966797,.3960900115966797,ESP,.0524104234999881,.0207592452518972,-.0465188938409728,-.0257596485890756,.0281169271469116,.0207592452518972,-.0257596485890756,0,0,.2065699768066407,2010,.5275150680541992,2009,0,0,1,1,.1024412125040341,0,.0549344870796794,0,.1024412125040341,0,.0028803321088172,0
Spain,ESP,2009,.3133440208435059,.5275150680541992,.5307899856567383,.5307899856567383,ESP,.0835592078229682,.0443523907218417,-.0463844741712689,-.0020320834494272,.0377206826210022,.0443523907218417,-.0020320834494272,0,0,.1644900131225586,2011,.5196490859985352,2010,0,0,1,1,.0787136473643857,0,.0415226350462182,0,.0787136473643857,0,.0029691325101735,0
Spain,ESP,2010,.3096382522583008,.5196490859985352,.6026599884033204,.6026599884033204,ESP,.1004943177483979,.0605639043688491,-.0473138454821509,.0132500588866982,.0418076276779175,.0605639043688491,.0132500588866982,0,0,.2929399871826172,2012,.5259810256958007,2011,0,0,1,1,.0634315050282603,0,.0329621236114469,0,.0634315050282603,0,.0026519207452715,0
Spain,ESP,2011,.3086521530151367,.5259810256958007,.6952799987792969,.6952799987792969,ESP,.1220193560116922,.08483761769886,-.0475611497390702,.0372764679597898,.0539906740188599,.08483761769886,.0372764679597898,0,0,.3047200012207031,2013,.5283224868774414,2012,0,0,1,1,.0394050959551687,0,.0207263327881411,0,.0394050959551687,0,.0021275076903974,0
Spain,ESP,2012,.3072739028930664,.5283224868774414,.8955999755859375,.8955999755859375,ESP,.1685144071961722,.1509214989707706,-.0479068016850081,.1030146972857625,.0671665525436401,.1509214989707706,.1030146972857625,0,0,.1485800170898438,2014,.5265901565551758,2013,0,0,1,1,0,.026333133370804,0,.0139123865097385,0,.026333133370804,0,.0017687057861888
Spain,ESP,2013,.3041412353515625,.5265901565551758,1,1,ESP,.1929368791210287,.1929368791210287,-.0486924447365543,.1442444343844743,.0767241621017456,.1929368791210287,.1442444343844743,0,0,.0244200134277344,2015,.5326947021484375,2014,0,0,1,1,0,.0675628704695158,0,.0355779425378594,0,.0675628704695158,0,.0051837046259624
Spain,ESP,2014,.3035416030883789,.5326947021484375,1.044179992675781,1.044179992675781,ESP,.2032145959047832,.2121926152634684,-.0488428267719321,.1633497884915364,.0765205335617065,.2121926152634684,.1633497884915364,0,0,-.0245099639892579,2016,.5366313934326172,2015,0,0,1,1,0,.0866682245765779,0,.046167704076554,0,.0866682245765779,0,.0066318987874455
Spain,ESP,2015,.3040961074829102,.5366313934326172,1.024420013427734,1.024420013427734,ESP,.1985951475667534,.2034448437370164,-.0487037623743081,.1547410813627083,.0674163150787354,.2034448437370164,.1547410813627083,0,0,-.0129800415039063,2017,.5363711547851563,2016,0,0,1,1,0,.0780595174477497,0,.0418891876186636,0,.0780595174477497,0,.0052624850231515
Spain,ESP,2016,.3044668769836426,.5363711547851563,1.019670028686523,1.019670028686523,ESP,.1974659370150829,.2013500976607809,-.0486107769303961,.1527393207303848,.0628399419784546,.2013500976607809,.1527393207303848,0,0,-.022490005493164,2018,.5404562377929687,2017,0,0,1,1,0,.0760577568154263,0,.0407951868534588,0,.0760577568154263,0,.0047794650252928
Spain,ESP,2017,.3038949775695801,.5404562377929687,1.011439971923828,1.011439971923828,ESP,.1956053834016882,.1978431034959532,-.0487542038325134,.1490888996634397,.0587599802017212,.1978431034959532,.1490888996634397,0,0,-.0356499481201171,2019,.5352510452270508,2018,0,0,1,1,0,.0724073357484812,0,.0391329962672365,0,.0724073357484812,0,.0042546536150401
