country_name,iso3,year,theta_hat_A,cutoff
China,CHN,2005,-.0225636275017116,-.0324804984770311
China,CHN,2006,-.0132269907941703,-.0324804984770311
China,CHN,2007,-.0124337498652419,-.0324804984770311
China,CHN,2008,-.0185559652724877,-.0324804984770311
China,CHN,2009,-.0152273941155795,-.0324804984770311
China,CHN,2010,-.0130091745217263,-.0324804984770311
China,CHN,2011,-.0191123162778055,-.0324804984770311
China,CHN,2012,-.0247537756269213,-.0324804984770311
China,CHN,2013,-.0092449807617666,-.0324804984770311
China,CHN,2014,-.0139863373590638,-.0324804984770311
China,CHN,2015,-.0121704932284429,-.0324804984770311
China,CHN,2016,-.0026438519894687,-.0324804984770311
China,CHN,2017,-.0028144641432153,-.0324804984770311
China,CHN,2018,-.0023511482988111,-.0324804984770311
Czech Republic,CZE,2001,-.0263385303418838,-.0324804984770311
Czech Republic,CZE,2002,-.0077449356013574,-.0324804984770311
Czech Republic,CZE,2003,-.006327299889514,-.0324804984770311
Czech Republic,CZE,2004,-.0216167264812199,-.0324804984770311
Czech Republic,CZE,2005,-.0157658022034629,-.0324804984770311
Czech Republic,CZE,2006,-.0047511258063607,-.0324804984770311
Czech Republic,CZE,2007,.0008714663546771,-.0324804984770311
Czech Republic,CZE,2008,-.0177462098517585,-.0324804984770311
Czech Republic,CZE,2009,-.0132719230925946,-.0324804984770311
Czech Republic,CZE,2010,-.0198426190471397,-.0324804984770311
Czech Republic,CZE,2011,-.0069136138693893,-.0324804984770311
Czech Republic,CZE,2012,-.0053891741091382,-.0324804984770311
Czech Republic,CZE,2013,-.0136980405633278,-.0324804984770311
Czech Republic,CZE,2014,-.0046942057508613,-.0324804984770311
Czech Republic,CZE,2015,.0111467854052627,-.0324804984770311
Czech Republic,CZE,2016,-.0105203449472183,-.0324804984770311
Czech Republic,CZE,2017,-.0162500633227798,-.0324804984770311
Czech Republic,CZE,2018,.0110540601897151,-.0324804984770311
Germany,DEU,2000,.0023043799679768,-.0324804984770311
Germany,DEU,2001,-.0084087317155452,-.0324804984770311
Germany,DEU,2002,.0104425682074158,-.0324804984770311
Germany,DEU,2003,.015682388079103,-.0324804984770311
Germany,DEU,2004,.0030400535357385,-.0324804984770311
Germany,DEU,2005,.0138890360403345,-.0324804984770311
Germany,DEU,2006,.022711208895013,-.0324804984770311
Germany,DEU,2007,.0208701194846866,-.0324804984770311
Germany,DEU,2008,.0041120033748407,-.0324804984770311
Germany,DEU,2009,.0145279170424355,-.0324804984770311
Germany,DEU,2010,.0152458808612701,-.0324804984770311
Germany,DEU,2011,.0276134423160787,-.0324804984770311
Germany,DEU,2012,.0232236663672012,-.0324804984770311
Germany,DEU,2013,.0125642675133354,-.0324804984770311
Germany,DEU,2014,.0225862696309696,-.0324804984770311
Germany,DEU,2015,.0334069244743522,-.0324804984770311
Germany,DEU,2016,.0131695999469215,-.0324804984770311
Germany,DEU,2017,.0031183878019977,-.0324804984770311
Germany,DEU,2018,.0265046274534823,-.0324804984770311
Denmark,DNK,2000,-.0004844482684641,-.0324804984770311
Denmark,DNK,2001,-.0146669644672117,-.0324804984770311
Denmark,DNK,2002,.0102622592753803,-.0324804984770311
Denmark,DNK,2003,-.0030066928020782,-.0324804984770311
Denmark,DNK,2004,-.0127105195661361,-.0324804984770311
Denmark,DNK,2005,-.003248452328874,-.0324804984770311
Denmark,DNK,2006,.0135519070345285,-.0324804984770311
Denmark,DNK,2007,-.0012515404870078,-.0324804984770311
Denmark,DNK,2008,-.0125273690295323,-.0324804984770311
Denmark,DNK,2009,-.0097348459356087,-.0324804984770311
Denmark,DNK,2010,-.0180659639354863,-.0324804984770311
Denmark,DNK,2011,-.0033471182506565,-.0324804984770311
Denmark,DNK,2012,-.0099692171401263,-.0324804984770311
Denmark,DNK,2013,-.0144157884917651,-.0324804984770311
Denmark,DNK,2014,.0061197311767875,-.0324804984770311
Denmark,DNK,2015,.0066134890090214,-.0324804984770311
Denmark,DNK,2016,-.0058639212840036,-.0324804984770311
Denmark,DNK,2017,-.0203852489337472,-.0324804984770311
Denmark,DNK,2018,.010501885230244,-.0324804984770311
Egypt,EGY,2011,.0065114981464779,-.0324804984770311
Egypt,EGY,2012,.030216004648506,-.0324804984770311
Egypt,EGY,2013,.0164527447291664,-.0324804984770311
Egypt,EGY,2014,.0241919114402639,-.0324804984770311
Egypt,EGY,2015,.0515557946766135,-.0324804984770311
Egypt,EGY,2016,.0478781242188862,-.0324804984770311
Egypt,EGY,2017,.0487957426642368,-.0324804984770311
