country_name,iso3,year,bond_spreads,capacity,debt_gdp,interest_revenue,wsdi_days,wsdi_merge,adapt_capacity,country_id,duplicate_key,spread_lag,b_pre,T_it,T_lead,b_outcome_common,A_outcome_common,sample_layer2_a
Spain,ESP,2009,.0077373200654984,.2707532346248627,.5307899856567383,.0377206826210022,.1739075743068348,Matched (3),.7292467653751373,ESP,0,.0074096900224686,.3960900115966797,.9623186377775845,1.00094122141843,.0718700027465821,.000673919916153,1
Spain,ESP,2010,.0109840703010559,.2631097733974457,.6026599884033204,.0418076276779175,.0518409976092252,Matched (3),.7368902266025543,ESP,0,.0077373200654984,.5307899856567383,1.00094122141843,.9936007918081405,.0926200103759766,.007643461227417,1
Spain,ESP,2011,.0268984198570251,.2590193748474121,.6952799987792969,.0539906740188599,.2011813289468939,Matched (3),.7409806251525879,ESP,0,.0109840703010559,.6026599884033204,.9936007918081405,.9713488548166049,.2003199768066406,.0040903985500336,1
Spain,ESP,2012,.0410263395309448,.2556562125682831,.8955999755859375,.0671665525436401,.1753014633872292,Matched (3),.7443437874317169,ESP,0,.0268984198570251,.6952799987792969,.9713488548166049,.9857267824396749,.1044000244140625,.003363162279129,1
Spain,ESP,2013,.0219267392158508,.2506155371665955,1,.0767241621017456,.0850647622888738,Matched (3),.7493844628334045,ESP,0,.0410263395309448,.8955999755859375,.9857267824396749,1.015204842628299,.0441799926757813,.0050406754016876,1
Spain,ESP,2014,.0018311600387096,.2438147813081741,1.044179992675781,.0765205335617065,.2065011345256459,Matched (3),.7561852186918259,ESP,0,.0219267392158508,1,1.015204842628299,1.040607808455226,-.019759979248047,.0068007558584213,1
Spain,ESP,2015,-.0038602900505066,.245018869638443,1.024420013427734,.0674163150787354,.3302767918326638,Matched (3),.754981130361557,ESP,0,.0018311600387096,1.044179992675781,1.040607808455226,1.0291524425707,-.0047499847412109,-.0012040883302689,1
Spain,ESP,2016,-.0044482699036598,.2465527504682541,1.019670028686523,.0628399419784546,.1339882976358587,Matched (3),.7534472495317459,ESP,0,-.0038602900505066,1.024420013427734,1.0291524425707,1.028960446651833,-.0082300567626954,-.0015338808298111,1
Spain,ESP,2017,-.0076015800237656,.2432359158992767,1.011439971923828,.0587599802017212,.3534405500238592,Matched (3),.7567640841007233,ESP,0,-.0044482699036598,1.019670028686523,1.028960446651833,1.023954064580977,-.0142599487304687,.0033168345689774,1
Spain,ESP,2018,-.014686199426651,.241458535194397,.9971800231933594,.0558964729309082,.1600188862193714,Matched (3),.758541464805603,ESP,0,-.0076015800237656,1.011439971923828,1.023954064580977,1.019611835128535,-.0213899993896485,.0017773807048798,1
