country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,vulnerability_delta100,readiness100,readiness_delta100,lnrgdp,growth,inflation_cpi,debt_gdp,PrimaryBalance_gdp,reserves,gee,rqe,tt,is_advanced,Revenue_gdp,CurrentGDP,ConstantGDP,capitaGDP,OverallBalance_gdp,revenue,debt,interest_revenue,taxgdp
Croatia,HRV,2011,3.744013,6.50579,37.94745283,-5.15997110133847,46.39862645,3.95271425623113,3.91511821,-0.114,2.208,63.15,-5.2,23.03587317989423459244532803,0.5021752119,0.4428925514,100.4,0,41.123,62.875,50.155,28753.973,-7.513,18.579,28.53,5.624589645697055,24.167252367885279
Croatia,HRV,2012,4.534518,6.323664,37.60169836,-5.38683481704059,46.26228641,3.63343526571912,3.892534329,-2.233,3.354,68.852,-2.785,25.71308012596811725072066127,0.6750282049,0.3538157046,98.9,0,41.866,57.586,49.035,28250.454,-5.457,18.753,30.841,6.382267233554675,24.941750759064117
Croatia,HRV,2013,2.639495,4.987768,37.71192954,-5.04913365433417,47.20571375,4.22685120271824,3.891187445,-0.135,2.328,79.49,-2.831,29.68748695022190288406911072,0.6753647923,0.3696329892,98.2,0,42.446,59.846,48.969,28385.676,-5.514,19.126,35.818,6.320972529802573,25.70710735365908
Croatia,HRV,2014,1.884191,4.41386,37.71276184,-4.97101203659773,47.89099061,4.79320185985948,3.885596891,-0.557,0.219,83.231,-2.305,25.86857540816849202488972376,0.6763349175,0.2765753567,99.1,0,43.555,59.623,48.696,28442.391,-5.193,19.542,37.344,6.630696820112502,25.425037885541098
Croatia,HRV,2015,1.569043,3.700963,37.78824321,-4.60117999323295,48.3551636,4.80445314781147,3.908536936,2.321,-0.259,82.779,-0.443,29.34397534244799529457896285,0.4573534131,0.2375626415,100,0,44.076,51.005,49.826,29452.864,-3.531,20.26,38.05,7.00608040657047,26.029585399808582
Croatia,HRV,2016,1.740812,3.572782,37.28419069,-4.53221888979128,48.74068514,4.3082702215452,3.942591007,3.464,-0.629,79.261,1.79,27.06198267004502621779770499,0.4223082662,0.2386473864,99,0,44.88,52.636,51.552,30807.019,-1.036,21.348,37.702,6.2967914438502675,26.561464399083434
Croatia,HRV,2017,0.466156,2.795248,37.436119,-3.79631080934052,48.39044817,3.05945500491185,3.974922684,3.286,1.303,76.174,3.207,33.50583291587386938252261235,0.5354917049,0.2994459867,97.9,0,44.913,56.164,53.246,32339.03,0.807,22.337,37.885,5.343664417874558,26.452501206369632
Croatia,HRV,2018,-0.730111,2.180189,37.39003736,-3.31031766361207,48.68414849,2.53444403468604,4.003617199,2.911,1.558,72.847,2.271,32.40396947496288131747009434,0.5139327645,0.4898183644,95.9,0,45.194,61.694,54.796,33714.263,0.221,23.599,38.039,4.536000354029296,27.011241549686883
Croatia,HRV,2019,-0.866715,1.271985,37.52993743,-2.25305847405214,49.34126349,1.78000509757496,4.034152139,3.101,0.791,70.881,4.335,33.78767706622458275043107655,0.456785351,0.5525176525,96.3,0,46.67,61.474,56.495,35111.69,2.315,25.625,38.919,4.32826226698093,27.272922320371549
Croatia,HRV,2020,0.070267,0.964379,37.41308175,-2.78121475766773,48.55481659,1.62643246744015,3.947390149,-8.31,-0.048,86.476,-5.454,40.15232096907811582691577166,0.424775809,0.3623145521,94.4,0,46.513,57.914,51.8,32481.628,-7.241,23.603,43.882,3.8419366628684455,26.104128160160794
