specification,cutoff,rss,N,N_low,N_high
current_debt,-.0119925467297435,1.14240062236786,742,196,546
current_debt,-.0119565799832344,1.14240491390228,742,198,544
current_debt,-.0118561554700136,1.14241790771484,742,199,543
current_debt,-.0118141751736403,1.14242613315582,742,199,543
current_debt,-.0114510310813785,1.14250099658966,742,200,542
current_debt,-.0113548347726464,1.14252209663391,742,202,540
current_debt,-.0112116187810898,1.14255487918854,742,202,540
current_debt,-.0112052522599697,1.1425564289093,742,204,538
current_debt,-.0111831361427903,1.14256238937378,742,205,537
current_debt,-.0108251422643661,1.14266169071198,742,206,536
current_debt,-.0106130614876747,1.14271378517151,742,207,535
current_debt,-.0105203446000814,1.14273691177368,742,208,534
current_debt,-.0102584762498736,1.14280104637146,742,209,533
current_debt,-.0102293491363525,1.14280796051025,742,210,532
current_debt,-.0099692167714238,1.14286732673645,742,211,531
current_debt,-.0099507560953498,1.14287126064301,742,211,531
current_debt,-.0099033489823341,1.14288115501404,742,213,529
current_debt,-.0098610511049628,1.14288687705994,742,214,528
current_debt,-.0097348457202315,1.14290750026703,742,215,527
current_debt,-.0096839359030128,1.14291620254517,742,215,527
current_debt,-.0096015837043524,1.14292979240417,742,216,526
current_debt,-.0095498450100422,1.14293885231018,742,217,525
current_debt,-.0095485020428896,1.14293920993805,742,218,524
current_debt,-.009465703740716,1.14295625686646,742,219,523
current_debt,-.0092722102999687,1.14298987388611,742,221,521
current_debt,-.0092449812218547,1.14299094676971,742,221,521
current_debt,-.0091787865385413,1.14299368858337,742,223,519
current_debt,-.0091565549373627,1.14299476146698,742,223,519
current_debt,-.0091479914262891,1.14299511909485,742,224,518
current_debt,-.0091013740748167,1.14299714565277,742,226,516
current_debt,-.0090163415297866,1.14300155639648,742,226,516
current_debt,-.0087968651205301,1.14301013946533,742,228,514
current_debt,-.0087350197136402,1.14301264286041,742,229,513
current_debt,-.0086051058024168,1.14301645755768,742,230,512
current_debt,-.0085990186780691,1.14301669597626,742,231,511
current_debt,-.0085680400952697,1.14301669597626,742,231,511
current_debt,-.008471155539155,1.14301383495331,742,233,509
current_debt,-.0084141790866852,1.14301240444183,742,233,509
current_debt,-.0084087317809463,1.14301216602325,742,234,508
current_debt,-.0083455666899681,1.1430116891861,742,236,506
current_debt,-.008340802974999,1.1430116891861,742,236,506
current_debt,-.0083244116976857,1.14301145076752,742,238,504
current_debt,-.0082835871726274,1.14300858974457,742,239,503
current_debt,-.0082481624558568,1.14300620555878,742,240,502
current_debt,-.0081750676035881,1.14300262928009,742,241,501
current_debt,-.0081732328981161,1.1430025100708,742,242,500
current_debt,-.0080703757703304,1.1429979801178,742,243,499
current_debt,-.0078572956845164,1.14298796653748,742,244,498
current_debt,-.0078048375435174,1.14298498630524,742,244,498
current_debt,-.0077449358068407,1.14298236370087,742,245,497
current_debt,-.0075978571549058,1.14297759532928,742,246,496
current_debt,-.0074393209069967,1.14297270774841,742,248,494
current_debt,-.0072586140595376,1.14296853542328,742,249,493
current_debt,-.0072417184710503,1.14296793937683,742,249,493
current_debt,-.0071436269208789,1.14296436309814,742,250,492
current_debt,-.0070962188765407,1.14296436309814,742,251,491
current_debt,-.007086087949574,1.14296412467957,742,252,490
current_debt,-.0069996393285692,1.14296412467957,742,253,489
current_debt,-.0069136139936745,1.14296472072601,742,255,487
current_debt,-.0068402271717787,1.14296591281891,742,255,487
current_debt,-.0065928120166063,1.14296162128448,742,257,485
current_debt,-.0065179653465748,1.1429625749588,742,257,485
current_debt,-.0063563059084117,1.14296901226044,742,259,483
current_debt,-.0063272998668253,1.14296960830688,742,260,482
current_debt,-.0062647522427142,1.14297127723694,742,260,482
current_debt,-.0061271023005247,1.14297378063202,742,262,480
current_debt,-.005863921251148,1.14298403263092,742,262,480
current_debt,-.00583425629884,1.14298593997955,742,264,478
current_debt,-.0058056064881384,1.14298927783966,742,265,477
current_debt,-.0057865618728101,1.14299142360687,742,266,476
current_debt,-.0056802229955792,1.14300441741943,742,267,475
current_debt,-.0056298645213246,1.14301013946533,742,268,474
current_debt,-.0055751679465175,1.14301466941833,742,268,474
current_debt,-.0055630006827414,1.14301562309265,742,270,472
current_debt,-.0054767560213804,1.14302158355713,742,271,471
current_debt,-.0053891739808023,1.1430242061615,742,271,471
current_debt,-.0052593685686588,1.14302539825439,742,273,469
current_debt,-.0052021122537553,1.14302623271942,742,274,468
current_debt,-.0050586042925715,1.14302349090576,742,275,467
current_debt,-.0050236508250237,1.14302361011505,742,275,467
current_debt,-.0049998620525002,1.14302361011505,742,277,465
current_debt,-.0049915905110538,1.14302325248718,742,278,464
current_debt,-.0048389886505902,1.14301741123199,742,278,464
current_debt,-.004833250772208,1.14301741123199,742,279,463
current_debt,-.0047511258162558,1.1430162191391,742,281,461
current_debt,-.0047368556261063,1.14301633834839,742,281,461
current_debt,-.0046942057088017,1.14301717281342,742,283,459
current_debt,-.0046416455879807,1.14301741123199,742,284,458
current_debt,-.0045875385403633,1.14301717281342,742,285,457
current_debt,-.0044872337020934,1.14302039146423,742,285,457
current_debt,-.0044532525353134,1.14302277565002,742,286,456
current_debt,-.0044107837602496,1.14302492141724,742,288,454
current_debt,-.0042010671459138,1.14303553104401,742,289,453
current_debt,-.0041359909810126,1.14303874969482,742,289,453
current_debt,-.004081625957042,1.14304041862488,742,290,452
current_debt,-.0039765643887222,1.14304280281067,742,291,451
current_debt,-.0038827729877084,1.14304661750793,742,293,449
current_debt,-.0038485364057124,1.14304721355438,742,293,449
current_debt,-.0037219761870801,1.14304339885712,742,295,447
current_debt,-.0036643203347921,1.14304268360138,742,296,446
current_debt,-.0036187472287565,1.14304351806641,742,297,445
current_debt,-.0036119029391557,1.14304327964783,742,297,445
current_debt,-.0035566959995776,1.14304101467133,742,299,443
current_debt,-.003537634620443,1.14303994178772,742,299,443
current_debt,-.0033471181523055,1.14302790164948,742,300,442
current_debt,-.0033112030941993,1.14302480220795,742,302,440
current_debt,-.0032484524417669,1.14301919937134,742,302,440
current_debt,-.0031307598110288,1.14300549030304,742,304,438
current_debt,-.0030923443846405,1.14300155639648,742,304,438
